Surface,NbrPieces,NbrChambres,NbrSdb,Prix,Type_Appartement,Type_Maison,DPE_A (< 50),DPE_B (51 à 90),DPE_C (91 à 150),DPE_D (151 à 230),DPE_E (231 à 330),DPE_F (331 à 450),DPE_Vierge,latitude,longitude
52.0,2.0,1.0,1.0,128000,True,False,False,False,False,False,False,False,True,48.645608238,2.40818892
120.0,6.0,4.0,1.0,356000,False,True,False,False,False,False,False,False,True,48.685086033,2.266929714
34.0,1.0,2.541371158392435,1.0,134900,True,False,False,False,False,False,False,False,True,48.76689918,2.352941911
150.0,5.0,4.0,2.0,525000,False,True,False,False,False,False,False,False,True,48.601359562,2.105439998
107.0,4.0,3.0,1.0,550000,True,False,False,False,False,False,False,False,True,48.884683095,2.438075777
59.0,3.0,2.0,1.0,275000,True,False,False,False,False,False,False,False,True,48.91591925,2.287808861
89.0,4.0,3.0,1.3101736972704714,1495000,False,True,False,False,False,False,False,False,True,48.902243865,2.484137001
44.0,3.0,2.0,1.0,164000,True,False,False,False,False,False,False,False,True,48.732228497,2.41098507
93.51015801354401,5.806741573033708,4.0,1.0,560000,False,True,False,False,False,False,False,False,True,48.966510781,3.081791683
180.0,7.0,5.0,4.0,380000,False,True,False,False,False,False,False,False,True,48.637231884,2.769101712
77.0,4.0,2.0,1.0,169000,True,False,False,False,False,False,False,False,True,48.669432989,2.373359685
80.0,4.0,3.0,1.0,298000,False,True,False,False,False,False,False,False,True,48.932264849,2.399334869
64.0,3.0,2.0,1.0,382000,True,False,False,False,False,False,False,False,True,48.91591925,2.287808861
100.0,3.0,2.0,1.0,235000,False,True,False,False,False,False,False,False,True,48.953667315,1.671553521
85.0,4.0,3.0,1.0,256000,True,False,False,False,False,False,False,False,True,48.76689918,2.352941911
67.0,2.0,1.0,1.0,835000,True,False,False,False,False,False,False,False,True,48.86287791,2.3599986
220.0,7.0,5.0,3.0,499000,False,True,False,False,False,False,False,False,True,49.126847478,2.172466525
160.0,6.0,4.0,2.0,329000,False,True,False,False,False,False,False,False,True,48.524357339,2.697674267
69.0,4.0,2.0,1.0,260000,True,False,False,False,False,False,False,False,True,48.896772136,2.519551978
64.0,3.0,2.0,1.0,194000,True,False,False,False,False,False,False,False,True,48.896772136,2.519551978
35.0,1.0,1.0,1.0,91200,True,False,False,False,False,False,False,False,True,48.709264749,2.386718909
46.0,2.0,1.0,1.0,94000,True,False,False,False,False,False,False,False,True,48.783768446,2.454728618
65.0,3.0,2.0,1.0,345000,True,False,False,False,False,False,False,False,True,48.896168757,2.207090178
200.0,8.0,6.0,2.0,476000,False,True,False,False,False,False,False,False,True,48.898040819,2.566549678
130.0,5.0,3.0,1.3101736972704714,150000,True,False,False,False,False,False,False,False,True,48.86287791,2.3599986
130.0,5.0,3.0,1.3101736972704714,150000,True,False,False,False,False,False,False,False,True,48.86287791,2.3599986
73.0,4.0,2.0,1.0,225000,True,False,False,False,False,False,False,False,True,48.77621691,2.337698598
31.0,1.0,2.541371158392435,1.0,117000,True,False,False,False,False,False,False,False,True,48.26855397,3.259845097
90.0,5.0,3.0,1.0,233000,True,False,False,False,False,False,False,False,True,48.760790808,2.385495992
73.0,4.0,3.0,1.0,577000,True,False,False,False,False,False,False,False,True,48.86287791,2.3599986
93.51015801354401,5.806741573033708,2.541371158392435,1.3101736972704714,80000,False,True,False,False,False,False,False,False,True,48.831106067,2.012426837
46.0,2.0,1.0,1.0,165000,True,False,False,False,False,False,False,False,True,49.026361092,2.220661508
74.0,3.0,2.0,1.0,265000,True,False,False,False,False,False,False,False,True,47.167699142,1.756800232
52.0,3.0,2.0,1.0,160000,True,False,False,False,False,False,False,False,True,48.938717628,2.530589988
24.0,1.0,2.541371158392435,1.0,115000,True,False,False,False,False,False,False,False,True,48.26855397,3.259845097
318.0,5.806741573033708,2.541371158392435,1.3101736972704714,900000,True,False,False,False,False,False,False,False,True,48.923469067,2.444562389
69.0,4.0,3.0,1.0,158000,True,False,False,False,False,False,False,False,True,48.955045923,2.313968877
76.0,4.0,3.0,1.0,259000,True,False,False,False,False,False,False,False,True,48.669432989,2.373359685
93.51015801354401,5.0,3.0,2.0,350000,True,False,False,False,False,False,False,False,True,48.806206275,2.438053127
100.0,4.0,2.0,1.0,240000,False,True,False,False,False,False,False,False,True,48.587355138,3.138417782
106.0,3.0,2.541371158392435,1.3101736972704714,75008,True,False,False,False,False,False,False,False,True,48.86287791,2.3599986
84.0,5.0,3.0,1.0,334000,True,False,False,False,False,False,False,False,True,48.896168757,2.207090178
38.0,2.0,2.541371158392435,1.3101736972704714,154000,True,False,False,False,False,False,False,False,True,49.007988385,2.403736201
33.0,1.0,2.541371158392435,1.3101736972704714,149000,True,False,False,False,False,False,False,False,True,49.007988385,2.403736201
120.0,6.0,5.0,1.0,345000,False,True,False,False,False,False,False,False,True,48.919719465,-0.605313832
79.0,3.0,2.0,1.0,740000,True,False,False,False,False,False,False,False,True,48.847539205,2.437714989
80.0,4.0,3.0,1.0,240000,False,True,False,False,False,False,False,False,True,49.003563215,2.739419053
60.0,4.0,2.541371158392435,1.3101736972704714,199000,False,True,False,False,False,False,False,False,True,49.051577748,2.094574042
40.0,2.0,1.0,1.0,660000,True,False,False,False,False,False,False,False,True,48.86287791,2.3599986
36.0,2.0,1.0,1.0,119000,True,False,False,False,False,False,False,False,True,48.912490578,2.384529976
100.0,100.0,4.0,1.0,685000,True,False,False,False,False,False,False,False,True,48.86287791,2.3599986
100.0,100.0,4.0,1.0,685000,True,False,False,False,False,False,False,False,True,48.86287791,2.3599986
137.0,6.0,4.0,3.0,337000,False,True,False,False,False,False,False,False,True,49.13001014,2.263254667
65.0,3.0,2.0,1.0,235000,True,False,False,False,False,False,False,False,True,48.845661019,2.787101817
52.0,2.0,1.0,1.0,460000,True,False,False,False,False,False,False,False,True,48.749986765,2.299028344
35.0,35.0,2.0,1.0,135000,True,False,False,False,False,False,False,False,True,48.932264849,2.399334869
72.0,4.0,2.0,1.0,239000,True,False,False,False,False,False,False,False,True,48.67802178,2.223002267
76.0,4.0,3.0,1.0,189000,True,False,False,False,False,False,False,False,True,48.890767137,2.639890249
53.0,3.0,2.0,1.0,185000,True,False,False,False,False,False,False,False,True,48.788118568,2.394516098
53.0,3.0,2.0,1.0,185000,True,False,False,False,False,False,False,False,True,48.788118568,2.394516098
50.0,2.0,1.0,1.0,135000,False,True,False,False,False,False,False,False,True,48.565555122,2.920094677
93.51015801354401,5.806741573033708,2.541371158392435,1.3101736972704714,215000,True,False,False,False,False,False,False,False,True,48.788118568,2.394516098
40.0,2.0,2.0,1.0,280000,True,False,False,False,False,False,False,False,True,48.883640381,2.238727624
134.0,5.0,3.0,2.0,450000,False,True,False,False,False,False,False,False,True,48.87491844,2.48590027
101.0,5.0,3.0,2.0,307000,True,False,False,False,False,False,False,False,True,48.87491844,2.48590027
55.0,55.0,2.0,1.0,155000,True,False,False,False,False,False,False,False,True,48.684832308,2.676033206
101.0,5.0,4.0,1.0,405000,True,False,False,False,False,False,False,False,True,48.91591925,2.287808861
93.51015801354401,1.0,2.541371158392435,1.3101736972704714,68000,True,False,False,False,False,False,False,False,True,48.938717628,2.530589988
93.51015801354401,1.0,2.541371158392435,1.3101736972704714,68000,True,False,False,False,False,False,False,False,True,48.938717628,2.530589988
40.0,1.0,1.0,1.0,420000,True,False,False,False,False,False,False,False,True,48.86287791,2.3599986
264.0,7.0,5.0,3.0,320000,False,True,False,False,False,False,False,False,True,48.86287791,2.3599986
190.0,6.0,5.0,1.0,140000,True,False,False,False,False,False,False,False,True,48.970423332,2.404581275
45.0,2.0,1.0,1.0,170000,True,False,False,False,False,False,False,False,True,48.685086033,2.266929714
160.0,160.0,13.0,8.0,550000,False,True,False,False,False,False,False,False,True,48.884683095,2.438075777
160.0,160.0,13.0,8.0,550000,False,True,False,False,False,False,False,False,True,48.884683095,2.438075777
45.0,4.0,3.0,1.0,22878,False,True,False,False,False,False,False,False,True,48.86287791,2.3599986
405.0,5.0,1.0,1.0,70000,False,True,False,False,False,False,False,False,True,48.86287791,2.3599986
22.0,2.0,1.0,1.0,140000,True,False,False,False,False,False,False,False,True,48.821542393,2.287396637
100.0,5.0,4.0,1.3101736972704714,254400,False,True,False,False,False,False,False,False,True,48.345169683,2.237202381
70.0,3.0,2.541371158392435,1.0,155150,True,False,False,False,False,False,False,False,True,48.86287791,2.3599986
70.0,3.0,2.541371158392435,1.0,155150,True,False,False,False,False,False,False,False,True,48.86287791,2.3599986
129.0,6.0,4.0,2.0,310000,False,True,False,False,False,False,False,False,True,48.661326984,2.330542445
80.0,5.0,3.0,1.0,250000,True,False,False,False,False,False,False,False,True,48.956644571,2.384861241
61.0,3.0,2.0,1.0,510000,True,False,False,False,False,False,False,False,True,48.86287791,2.3599986
61.0,3.0,2.0,1.0,510000,True,False,False,False,False,False,False,False,True,48.86287791,2.3599986
71.0,3.0,2.0,1.0,169000,True,False,False,False,False,False,False,False,True,48.993711113,2.194320017
